code;name;side;city;type;x;y
S_03_A;Сарапул_03-S_ул_Раскольникова_напротив_д2б;А;Сарапул;Билборд;56.49527784011;53.804890721565
S_03_B;Сарапул_03-S_ул_Раскольникова_напротив_д2б;Б;Сарапул;Билборд;56.49527784011;53.804890721565
S_04_A;Сарапул_04-S_ул_ОранжерейнаяИжевский тракт;А;Сарапул;Билборд;56.489018740788;53.687626906164
S_04_B;Сарапул_04-S_ул_ОранжерейнаяИжевский тракт;Б;Сарапул;Билборд;56.489018740788;53.687626906164
S_05_A;Сарапул_05-S_ул_Оранжерейная_1_Цветы Удмуртии;А;Сарапул;Билборд;56.488233938747;53.69264527562
S_05_B;Сарапул_05-S_ул_Оранжерейная_1_Цветы Удмуртии;Б;Сарапул;Билборд;56.488233938747;53.69264527562
S_06_A;Сарапул_06-S_ул_Путейская_78;А;Сарапул;Билборд;56.468315147534;53.716240321537
S_06_B;Сарапул_06-S_ул_Путейская_78;Б;Сарапул;Билборд;56.468315147534;53.716240321537
S_07_A;Сарапул_07-S_ул_Путейская_напротив_д_70;А;Сарапул;Билборд;56.465426185442;53.722804541445
S_07_B;Сарапул_07-S_ул_Путейская_напротив_д_70;Б;Сарапул;Билборд;56.465426185442;53.722804541445
S_08_A;Сарапул_08-S_ул_Путейская_70;А;Сарапул;Билборд;56.465226303424;53.722514355209
S_08_B;Сарапул_08-S_ул_Путейская_70;Б;Сарапул;Билборд;56.465226303424;53.722514355209
S_09_A;Сарапул_09-S_ул_Путейская_напротив д_9;А;Сарапул;Билборд;56.453767286984;53.767473865082
S_09_B;Сарапул_09-S_ул_Путейская_напротив д_9;Б;Сарапул;Билборд;56.453767286984;53.767473865082
S_10_A;Сарапул_10-S_ул_Путейская_4;А;Сарапул;Билборд;56.452510645132;53.780405746033
S_10_B;Сарапул_10-S_ул_Путейская_4;Б;Сарапул;Билборд;56.452510645132;53.780405746033
S_11_A;Сарапул_11-S_ул_Ленина_62;А;Сарапул;Билборд;56.454592240643;53.788500082521
S_11_B;Сарапул_11-S_ул_Ленина_62;Б;Сарапул;Билборд;56.454592240643;53.788500082521
S_12_A;Сарапул_12-S_ул_Дубровская_101_пересечение_с_ул_Куйбышева;А;Сарапул;Билборд;56.458974896453;53.788761001328
S_12_B;Сарапул_12-S_ул_Дубровская_101_пересечение_с_ул_Куйбышева;Б;Сарапул;Билборд;56.458974896453;53.788761001328
S_13_A;Сарапул_13-S_ул_Азина_171;А;Сарапул;Билборд;56.438449722583;53.793874033312
S_13_B;Сарапул_13-S_ул_Азина_171;Б;Сарапул;Билборд;56.438449722583;53.793874033312
S_14_A;Сарапул_14-S_ул_Азина_181;А;Сарапул;Билборд;56.439888011897;53.795655020094
S_14_B;Сарапул_14-S_ул_Азина_181;Б;Сарапул;Билборд;56.439888011897;53.795655020094
S_15_A;Сарапул_15-S_ул_Азина_180;А;Сарапул;Билборд;56.431878648084;53.787645943975
S_15_B;Сарапул_15-S_ул_Азина_180;Б;Сарапул;Билборд;56.431878648084;53.787645943975
S_16_A;Сарапул_16-S_ул_Азина_144_пересечение_с_ул_Амурской;А;Сарапул;Билборд;56.456359;53.803169
S_16_B;Сарапул_16-S_ул_Азина_144_пересечение_с_ул_Амурской;Б;Сарапул;Билборд;56.456359;53.803169
S_17_A1;Сарапул_17-S_ул_Лесная_22  Пугачева;А1;Сарапул;Билборд;56.468731;53.781337
S_17_A2;Сарапул_17-S_ул_Лесная_22  Пугачева;А2;Сарапул;Билборд;56.468731;53.781337
S_18_A;Сарапул_18-S_Старый Ижевский тракт;А;Сарапул;Билборд;56.480128;53.760979
S_18_B;Сарапул_18-S_Старый Ижевский тракт;Б;Сарапул;Билборд;56.480128;53.760979
S_19_A;Сарапул_19-S_ситиборд 2,7х3,7_ул_Советская_59;А;Сарапул;Ситиборд;56.477731;53.795025
S_19_B;Сарапул_19-S_ситиборд 2,7х3,7_ул_Советская_59;Б;Сарапул;Ситиборд;56.477731;53.795025
S_20_A;Сарапул_20-S_ситиборд 2,7х3,7_ул_Советская_80;А;Сарапул;Ситиборд;56.47779;53.798662
S_20_B;Сарапул_20-S_ситиборд 2,7х3,7_ул_Советская_80;Б;Сарапул;Ситиборд;56.47779;53.798662
S_21_A;Сарапул_21-S_ситиборд 2,7х3,7_ул_Азина_64;А;Сарапул;Ситиборд;56.470364;53.804931
S_21_B;Сарапул_21-S_ситиборд 2,7х3,7_ул_Азина_64;Б;Сарапул;Ситиборд;56.470364;53.804931
S_22_A;Сарапул_22-S_ситиборд 2,7х3,7_ул_Азина_43;А;Сарапул;Ситиборд;56.470364;53.805132
S_22_B;Сарапул_22-S_ситиборд 2,7х3,7_ул_Азина_43;Б;Сарапул;Ситиборд;56.470364;53.805132
S_23_A;Сарапул_23-S_ситиборд 2,7х3,7_ул_Карла Маркса_60_Автовокзал;А;Сарапул;Ситиборд;56.467324;53.808534
S_23_B;Сарапул_23-S_ситиборд 2,7х3,7_ул_Карла Маркса_60_Автовокзал;Б;Сарапул;Ситиборд;56.467324;53.808534
S_24_A;Сарапул_24-S_ситиборд 2,7х3,7_ул_Карла Маркса_напротив_д82;А;Сарапул;Ситиборд;56.463955;53.808349
S_24_B;Сарапул_24-S_ситиборд 2,7х3,7_ул_Карла Маркса_напротив_д82;Б;Сарапул;Ситиборд;56.463955;53.808349
S_25_A;Сарапул_25-S_ситиборд 2,7х3,7_ул_Дубровская_д55  ул_Азина;А;Сарапул;Ситиборд;56.461294;53.803373
S_25_B;Сарапул_25-S_ситиборд 2,7х3,7_ул_Дубровская_д55  ул_Азина;Б;Сарапул;Ситиборд;56.461294;53.803373
S_26_A;Сарапул_26-S_ситиборд 2,7х3,7_ул_Азина_103  ул_Амурской;А;Сарапул;Ситиборд;56.456723;53.80347
S_26_B;Сарапул_26-S_ситиборд 2,7х3,7_ул_Азина_103  ул_Амурской;Б;Сарапул;Ситиборд;56.456723;53.80347
S_27_A;Сарапул_27-S_ситиборд 2,7х3,7_ул_Азина_134;А;Сарапул;Ситиборд;56.459348933611;53.803107392694
S_27_B;Сарапул_27-S_ситиборд 2,7х3,7_ул_Азина_134;Б;Сарапул;Ситиборд;56.459348933611;53.803107392694
S_28_A;Сарапул_28-S_ул_Путейская_1г;А;Сарапул;Билборд;56.452097038037;53.781052098217
S_28_B;Сарапул_28-S_ул_Путейская_1г;Б;Сарапул;Билборд;56.452097038037;53.781052098217
S_29_A;Сарапул_29-S_ул_Лесная_68;А;Сарапул;Билборд;56.472861044962;53.781980433169
S_29_B;Сарапул_29-S_ул_Лесная_68;Б;Сарапул;Билборд;56.472861044962;53.781980433169
S_30_A;Сарапул_30-S_ул_Лесной проспект;А;Сарапул;Билборд;56.442250891381;53.78122713405
S_30_B;Сарапул_30-S_ул_Лесной проспект;Б;Сарапул;Билборд;56.442250891381;53.78122713405
S_31_A;Сарапул_31-S_ул_Фурманова_1в;А;Сарапул;Билборд;56.444578686833;53.772908047781
S_31_B;Сарапул_31-S_ул_Фурманова_1в;Б;Сарапул;Билборд;56.444578686833;53.772908047781
S_32_A;Сарапул_32-S_ул_Путейская_9;А;Сарапул;Билборд;56.45348062956;53.766944128801
S_32_B;Сарапул_32-S_ул_Путейская_9;Б;Сарапул;Билборд;56.45348062956;53.766944128801
S_33_A;Сарапул_33-S_ул_Гончарова, 2а (ж_д мост);А;Сарапул;Билборд;56.451329;53.737801
S_33_B;Сарапул_33-S_ул_Гончарова, 2а (ж_д мост);Б;Сарапул;Билборд;56.451329;53.737801
S_34_A;Сарапул_34-S_ул. Чистякова_40а_пересечение_с_ул_20 лет Победы;А;Сарапул;Билборд;56.443367405782;53.749365850517
S_34_B;Сарапул_34-S_ул. Чистякова_40а_пересечение_с_ул_20 лет Победы;Б;Сарапул;Билборд;56.443367405782;53.749365850517
V_01_A;Воткинск_01-V_ул_Железнодорожная_Лермонтова;А;Воткинск;Билборд;57.046032749347;54.023810227353
V_01_B;Воткинск_01-V_ул_Железнодорожная_Лермонтова;Б;Воткинск;Билборд;57.046032749347;54.023810227353
